DT_COMPTC,CAPTC_DIA,RESG_DIA
2006-08-23,26.527,29.705
2006-08-24,33.474,20.608
2006-08-25,45.751,36.741
2006-08-28,34.76,33.973
2006-08-29,45.792,54.209
2006-08-30,36.849,16.274
2006-08-31,54.314,20.619
2006-09-01,503.181,30.261
2006-09-04,38.716,30.611
2006-09-05,46.692,57.893
2006-09-06,79.393,42.485
2006-09-08,53.721,23.801
2006-09-11,81.704,45.076
2006-09-12,35.117,41.705
2006-09-13,56.163,41.834
2006-09-14,37.313,30.154
2006-09-15,51.588,44.33
2006-09-18,103.275,47.92
2006-09-19,46.054,26.529
2006-09-20,49.713,26.786
2006-09-21,25.837,19.38
2006-09-22,46.965,52.469
2006-09-25,45.288,88.664
2006-09-26,48.563,78.551
2006-09-27,76.255,61.945
2006-09-28,60.533,32.761
2006-09-29,44.069,64.547
2006-10-02,83.685,28.445
2006-10-03,65.554,52.107
2006-10-04,32.637,85.165
2006-10-05,41.34,82.714
2006-10-06,242.266,76.471
2006-10-09,172.794,42.971
2006-10-10,26.183,63.011
2006-10-11,45.526,148.112
2006-10-13,43.323,39.813
2006-10-16,35.059,38.607
2006-10-17,57.829,41.663
2006-10-18,37.309,41.433
2006-10-19,45.731,41.728
2006-10-20,45.645,36.155
2006-10-23,47.877,61.738
2006-10-24,48.692,43.709
2006-10-25,54.627,66.294
2006-10-26,135.307,88.712
2006-10-27,185.788,110.886
2006-10-30,78.876,40.169
2006-10-31,117.013,37.04
2006-11-01,85.821,87.99
2006-11-03,118.377,36.973
2006-11-06,69.911,57.592
2006-11-07,79.875,110.787
2006-11-08,53.012,98.184
2006-11-09,78.382,139.812
2006-11-10,83.589,53.36
2006-11-13,54.834,181.712
2006-11-14,60.744,45.382
2006-11-16,48.898,40.376
2006-11-17,90.589,125.619
2006-11-20,31.513,40.117
2006-11-21,38.429,41.665
2006-11-22,86.346,145.576
2006-11-23,152.674,31.562
2006-11-24,69.323,118.239
2006-11-27,63.578,39.22
2006-11-28,66.164,46.544
2006-11-29,88.345,34.227
2006-11-30,43.417,34.569
2006-12-01,84.358,47.646
2006-12-04,77.566,36.64
2006-12-05,63.857,98.97
2006-12-06,58.366,82.814
2006-12-07,65.026,91.972
2006-12-08,75.554,59.593
2006-12-11,137.905,63.687
2006-12-12,77.701,70.111
2006-12-13,76.805,63.008
2006-12-14,93.545,47.306
2006-12-15,105.402,58.106
2006-12-18,157.097,77.139
2006-12-19,114.749,163.699
2006-12-20,138.284,83.084
2006-12-21,153.061,109.797
2006-12-22,181.589,139.986
2006-12-26,187.001,47.41
2006-12-27,119.3,71.012
2006-12-28,153.896,62.286
2006-12-29,65.096,38.906
2007-01-02,448.027,37.18
2007-01-03,181.419,50.498
2007-01-04,233.251,98.731
2007-01-05,128.384,97.527
2007-01-08,423.778,136.238
2007-01-09,137.481,131.394
2007-01-10,99.24,109.092
2007-01-11,138.566,61.83
2007-01-12,270.021,92.524
2007-01-15,106.103,31.753
2007-01-16,83.832,38.263
2007-01-17,121.609,61.505
2007-01-18,94.968,19.07
2007-01-19,142.616,104.566
2007-01-22,94.675,26.512
2007-01-23,111.844,29.65
2007-01-24,133.058,47.161
2007-01-25,110.861,52.18
2007-01-26,86.657,46.792
2007-01-29,115.637,47.838
2007-01-30,113.72,45.097
2007-01-31,224.637,47.249
2007-02-01,236.342,85.301
2007-02-02,169.687,49.671
2007-02-05,162.356,41.352
2007-02-06,157.576,47.397
2007-02-07,141.925,59.447
2007-02-08,200.345,34.075
2007-02-09,170.464,27.889
2007-02-12,143.404,45.8
2007-02-13,177.757,54.842
2007-02-14,211.174,77.54
2007-02-15,105.646,167.579
2007-02-16,166.97,140.488
2007-02-21,145.416,121.622
2007-02-22,166.955,51.588
